participant_id,sex,age,heat_lv1,heat_lv2,heat_lv3,heat_lv4,heat_lv5,heat_lv6
sub-01,M,24,58.60 ,68.37 ,86.95 ,102.32 ,118.74 ,164.00 
sub-02,F,24,37.00 ,84.89 ,101.80 ,111.45 ,123.74 ,132.75 
sub-03,M,34,32.07 ,33.79 ,54.55 ,96.35 ,148.79 ,177.50 
sub-04,F,29,34.33 ,38.89 ,48.65 ,67.00 ,116.16 ,148.75 
sub-05,F,33,62.60 ,52.47 ,82.90 ,116.40 ,138.00 ,149.75 
sub-06,F,27,77.80 ,86.05 ,102.75 ,105.70 ,115.79 ,125.50 
sub-07,F,25,140.93 ,143.00 ,157.15 ,171.00 ,186.32 ,196.75 
sub-08,M,21,46.87 ,58.11 ,72.80 ,105.35 ,162.21 ,183.75 
sub-09,F,21,7.73 ,8.32 ,21.65 ,38.85 ,111.74 ,176.00 
sub-10,F,21,27.87 ,22.15 ,38.65 ,54.00 ,96.68 ,157.50 
sub-11,M,24,70.33 ,76.20 ,98.25 ,131.74 ,147.47 ,194.00 
sub-12,F,31,79.20 ,100.95 ,96.05 ,125.80 ,142.26 ,156.50 
sub-13,M,48,45.15 ,37.79 ,64.05 ,69.60 ,144.06 ,195.75 
sub-14,F,19,31.60 ,45.70 ,52.65 ,74.79 ,103.37 ,168.00 
sub-15,F,32,24.80 ,27.95 ,40.25 ,77.60 ,130.32 ,167.00 
sub-16,M,19,78.06 ,78.47 ,95.85 ,106.22 ,119.83 ,134.00 
sub-17,F,23,76.82 ,95.58 ,108.74 ,137.82 ,159.75 ,176.60 
sub-18,F,19,41.80 ,26.32 ,43.45 ,90.21 ,134.05 ,170.40 
sub-19,F,24,107.47 ,116.47 ,117.15 ,131.60 ,139.37 ,144.50 
sub-20,F,34,32.07 ,38.35 ,59.20 ,93.00 ,137.47 ,173.75 
sub-21,M,55,8.82 ,15.84 ,24.60 ,62.39 ,112.32 ,133.75 
sub-22,M,27,31.13 ,33.05 ,63.05 ,95.70 ,111.79 ,122.50 
sub-23,F,21,37.93 ,49.63 ,52.65 ,97.20 ,117.26 ,140.00 
sub-24,F,34,97.87 ,93.63 ,108.25 ,113.00 ,127.63 ,136.00 
sub-25,F,22,21.40 ,27.19 ,41.30 ,86.17 ,133.37 ,148.75 
sub-26,F,20,62.33 ,69.58 ,94.47 ,114.55 ,164.74 ,189.00 
sub-27,M,32,23.40 ,26.42 ,40.30 ,73.45 ,104.00 ,109.50 
sub-28,M,19,22.00 ,26.56 ,51.05 ,77.33 ,125.68 ,165.25 
sub-29,F,48,22.33 ,29.74 ,28.00 ,36.58 ,91.16 ,123.80 
sub-30,F,19,12.67 ,35.25 ,87.05 ,123.37 ,143.05 ,156.25 
sub-31,F,34,47.13 ,51.32 ,72.80 ,91.32 ,139.79 ,162.20 
sub-32,M,26,79.40 ,93.35 ,108.15 ,124.47 ,145.74 ,175.75 
sub-33,F,26,39.47 ,76.26 ,135.10 ,178.65 ,197.78 ,200.00 